time,col,x,y,level,time
20100409,11061,N14,W66,N,99:99
20100410,11061,N13,W83,N,99:99
20100410,11059,S25,W91,N,99:99
20100410,11060,N25,W27,N,99:99
20100411,11061,N13,W91,N,99:99
20100412,11062,S18,W19,N,99:99
20100413,11062,S18,W34,N,99:99
20100414,11062,S18,W48,N,99:99
20100415,11062,S18,W48,N,99:99
20100416,11062,S18,W61,N,99:99
20100417,11062,S18,W74,N,99:99
20100418,11062,S18,W87,N,99:99
20100419,11062,S18,W91,N,99:99
20100429,11063,N16,W00,N,99:99
20100430,11063,N16,W13,N,99:99
20100501,11064,N15,E14,N,99:99
20100502,11064,N16,E01,N,99:99
20100502,11065,S32,W30,N,99:99
20100502,11066,S27,E02,N,99:99
20100502,11067,N23,E41,N,99:99
20100503,11063,N18,W66,N,99:99
20100503,11064,N15,W12,N,99:99
20100503,11065,S32,W30,N,99:99
20100503,11066,S27,E02,N,99:99
20100503,11067,N23,E41,N,99:99
20100503,11068,S19,E62,N,99:99
20100504,11063,N18,W66,N,99:99
20100504,11065,S32,W43,N,99:99
20100504,11066,S27,W09,N,99:99
20100504,11067,N23,E24,N,99:99
20100504,11068,S19,E62,N,99:99
20100504,11069,N42,W40,N,99:99
20100505,11063,N18,W80,N,99:99
20100505,11066,S26,W21,N,99:99
20100505,11067,N23,E10,N,99:99
20100505,11068,S19,E51,N,99:99
20100505,11069,N42,W40,N,99:99
20100505,11069,N42,W40,M,17:13
20100505,11069,N42,W40,C,11:37
20100505,11069,N42,W40,C,07:09
20100505,11069,N42,W40,N,99:99
20100505,11069,N42,W40,C,16:15
20100505,11070,N21,W22,N,99:99
20100506,11063,N18,W91,N,99:99
20100506,11066,S26,W36,N,99:99
20100506,11067,N23,W01,N,99:99
20100506,11068,S21,E40,N,99:99
20100506,11069,N41,W53,N,99:99
20100506,11069,N41,W53,N,99:99
20100506,11069,N41,W53,M,17:13
20100506,11069,N41,W53,C,11:37
20100506,11069,N41,W53,C,07:09
20100506,11070,N21,W22,N,99:99
20100507,11067,N23,W11,N,99:99
20100507,11068,S20,E27,N,99:99
20100507,11069,N42,W64,N,99:99
20100507,11069,N42,W64,C,07:29
20100507,11069,N42,W64,N,99:99
20100508,11068,S19,E14,N,99:99
20100508,11069,N42,W80,N,99:99
20100508,11069,N42,W80,C,20:04
20100508,11069,N42,W80,C,11:40
20100508,11069,N42,W80,C,04:51
20100508,11069,N42,W80,N,99:99
20100508,11069,N42,W80,C,07:29
20100508,11071,S20,W56,N,99:99
20100509,11069,N41,W91,N,99:99
20100509,11071,S20,W56,N,99:99
20100510,11064,N15,W91,N,99:99
20100510,11066,S21,W88,N,99:99
20100510,11067,N23,W50,N,99:99
20100510,11068,S19,W12,N,99:99
20100510,11069,N41,W91,N,99:99
20100510,11070,N21,W74,N,99:99
20100510,11071,S20,W69,N,99:99
20100511,11066,S21,W91,N,99:99
20100511,11067,N23,W63,N,99:99
