11576,2012:09:24:00:00:00,2012:09:25:00:00:00
11577,2012:09:25:00:00:00,2012:09:26:00:00:00
11579,2012:09:29:00:00:00,2012:09:30:00:00:00
11585,2012:10:06:00:00:00,2012:10:07:00:00:00
11586,2012:10:11:00:00:00,2012:10:12:00:00:00
11590,2012:10:15:00:00:00,2012:10:16:00:00:00
11592,2012:10:15:00:00:00,2012:10:16:00:00:00
11599,2012:10:28:00:00:00,2012:10:29:00:00:00
11602,2012:11:02:00:00:00,2012:11:03:00:00:00
11605,2012:11:05:00:00:00,2012:11:06:00:00:00
11606,2012:11:07:00:00:00,2012:11:08:00:00:00
11609,2012:11:11:00:00:00,2012:11:12:00:00:00
11611,2012:11:12:00:00:00,2012:11:13:00:00:00
11616,2012:11:18:00:00:00,2012:11:19:00:00:00
11621,2012:11:29:00:00:00,2012:11:30:00:00:00
11626,2012:12:05:00:00:00,2012:12:06:00:00:00
11634,2012:12:19:00:00:00,2012:12:20:00:00:00
11636,2012:12:28:00:00:00,2012:12:29:00:00:00
11637,2012:12:29:00:00:00,2012:12:30:00:00:00
11638,2013:01:01:00:00:00,2013:01:02:00:00:00
11639,2013:01:01:00:00:00,2013:01:02:00:00:00
11641,2013:01:03:00:00:00,2013:01:04:00:00:00
11642,2013:01:05:00:00:00,2013:01:06:00:00:00
11644,2013:01:06:00:00:00,2013:01:07:00:00:00
11646,2013:01:07:00:00:00,2013:01:08:00:00:00
11648,2013:01:07:00:00:00,2013:01:08:00:00:00
11649,2013:01:09:00:00:00,2013:01:10:00:00:00
11656,2013:01:15:00:00:00,2013:01:16:00:00:00
11658,2013:01:17:00:00:00,2013:01:18:00:00:00
11661,2013:01:26:00:00:00,2013:01:27:00:00:00
11662,2013:01:27:00:00:00,2013:01:28:00:00:00
11670,2013:02:08:00:00:00,2013:02:09:00:00:00
11671,2013:02:15:00:00:00,2013:02:16:00:00:00
11672,2013:02:13:00:00:00,2013:02:14:00:00:00
11673,2013:02:20:00:00:00,2013:02:21:00:00:00
11676,2013:02:21:00:00:00,2013:02:22:00:00:00
11679,2013:02:21:00:00:00,2013:02:22:00:00:00
11680,2013:02:27:00:00:00,2013:02:28:00:00:00
11681,2013:03:01:00:00:00,2013:03:02:00:00:00
11683,2013:03:05:00:00:00,2013:03:06:00:00:00
11688,2013:03:06:00:00:00,2013:03:07:00:00:00
11691,2013:03:11:00:00:00,2013:03:12:00:00:00
11694,2013:03:14:00:00:00,2013:03:15:00:00:00
11700,2013:03:19:00:00:00,2013:03:20:00:00:00
11704,2013:03:28:00:00:00,2013:03:29:00:00:00
11705,2013:03:26:00:00:00,2013:03:27:00:00:00
11707,2013:03:30:00:00:00,2013:03:31:00:00:00
11710,2013:04:01:00:00:00,2013:04:02:00:00:00
11716,2013:04:06:00:00:00,2013:04:07:00:00:00
11717,2013:04:09:00:00:00,2013:04:10:00:00:00
11724,2013:04:18:00:00:00,2013:04:19:00:00:00
11727,2013:04:23:00:00:00,2013:04:24:00:00:00
11728,2013:04:27:00:00:00,2013:04:28:00:00:00
11736,2013:05:02:00:00:00,2013:05:03:00:00:00
11741,2013:05:10:00:00:00,2013:05:11:00:00:00
11747,2013:05:15:00:00:00,2013:05:16:00:00:00
11751,2013:05:16:00:00:00,2013:05:17:00:00:00
11754,2013:05:23:00:00:00,2013:05:24:00:00:00
11757,2013:05:29:00:00:00,2013:05:30:00:00:00
11758,2013:05:31:00:00:00,2013:06:01:00:00:00
11759,2013:05:29:00:00:00,2013:05:30:00:00:00
11765,2013:06:06:00:00:00,2013:06:07:00:00:00
11770,2013:06:18:00:00:00,2013:06:19:00:00:00
11774,2013:06:19:00:00:00,2013:06:20:00:00:00
11777,2013:06:25:00:00:00,2013:06:26:00:00:00
11779,2013:06:28:00:00:00,2013:06:29:00:00:00
11784,2013:07:03:00:00:00,2013:07:04:00:00:00
11786,2013:07:03:00:00:00,2013:07:04:00:00:00
11788,2013:07:06:00:00:00,2013:07:07:00:00:00
11789,2013:07:08:00:00:00,2013:07:09:00:00:00
11792,2013:07:15:00:00:00,2013:07:16:00:00:00
11798,2013:07:20:00:00:00,2013:07:21:00:00:00
11799,2013:07:20:00:00:00,2013:07:21:00:00:00
11806,2013:07:31:00:00:00,2013:08:01:00:00:00
11808,2013:08:02:00:00:00,2013:08:03:00:00:00
11809,2013:08:05:00:00:00,2013:08:06:00:00:00
11810,2013:08:05:00:00:00,2013:08:06:00:00:00
11811,2013:08:02:00:00:00,2013:08:03:00:00:00
11814,2013:08:11:00:00:00,2013:08:12:00:00:00
11816,2013:08:11:00:00:00,2013:08:12:00:00:00
11819,2013:08:13:00:00:00,2013:08:14:00:00:00
11820,2013:08:17:00:00:00,2013:08:18:00:00:00
11822,2013:08:19:00:00:00,2013:08:20:00:00:00
11826,2013:08:19:00:00:00,2013:08:20:00:00:00
11835,2013:08:29:00:00:00,2013:08:30:00:00:00
11838,2013:09:10:00:00:00,2013:09:11:00:00:00
11841,2013:09:15:00:00:00,2013:09:16:00:00:00
11845,2013:09:21:00:00:00,2013:09:22:00:00:00
11847,2013:09:21:00:00:00,2013:09:22:00:00:00
11848,2013:09:21:00:00:00,2013:09:22:00:00:00
11849,2013:09:21:00:00:00,2013:09:22:00:00:00
11850,2013:09:24:00:00:00,2013:09:25:00:00:00
11851,2013:09:27:00:00:00,2013:09:28:00:00:00
11854,2013:10:02:00:00:00,2013:10:03:00:00:00
11855,2013:10:01:00:00:00,2013:10:02:00:00:00
11857,2013:10:06:00:00:00,2013:10:07:00:00:00
11860,2013:10:09:00:00:00,2013:10:10:00:00:00
11863,2013:10:09:00:00:00,2013:10:10:00:00:00
11868,2013:10:16:00:00:00,2013:10:17:00:00:00
11869,2013:10:18:00:00:00,2013:10:19:00:00:00
11871,2013:10:18:00:00:00,2013:10:19:00:00:00
11872,2013:10:20:00:00:00,2013:10:21:00:00:00
11874,2013:10:18:00:00:00,2013:10:19:00:00:00
11879,2013:10:24:00:00:00,2013:10:25:00:00:00
11881,2013:10:26:00:00:00,2013:10:27:00:00:00
11883,2013:10:31:00:00:00,2013:11:01:00:00:00
11887,2013:11:03:00:00:00,2013:11:04:00:00:00
11892,2013:11:10:00:00:00,2013:11:11:00:00:00
11895,2013:11:14:00:00:00,2013:11:15:00:00:00
11896,2013:11:15:00:00:00,2013:11:16:00:00:00
11903,2013:11:22:00:00:00,2013:11:23:00:00:00
11905,2013:11:28:00:00:00,2013:11:29:00:00:00
11906,2013:11:28:00:00:00,2013:11:29:00:00:00
11907,2013:11:27:00:00:00,2013:11:28:00:00:00
11911,2013:12:01:00:00:00,2013:12:02:00:00:00
11912,2013:12:07:00:00:00,2013:12:08:00:00:00
11920,2013:12:14:00:00:00,2013:12:15:00:00:00
11923,2013:12:12:00:00:00,2013:12:13:00:00:00
11929,2013:12:21:00:00:00,2013:12:22:00:00:00
11935,2013:12:26:00:00:00,2013:12:27:00:00:00
11937,2013:12:30:00:00:00,2013:12:31:00:00:00
11942,2014:01:04:00:00:00,2014:01:05:00:00:00
11943,2014:01:05:00:00:00,2014:01:06:00:00:00
11945,2014:01:03:00:00:00,2014:01:04:00:00:00
11948,2014:01:11:00:00:00,2014:01:12:00:00:00
11949,2014:01:13:00:00:00,2014:01:14:00:00:00
11951,2014:01:11:00:00:00,2014:01:12:00:00:00
11952,2014:01:17:00:00:00,2014:01:18:00:00:00
11957,2014:01:20:00:00:00,2014:01:21:00:00:00
11958,2014:01:22:00:00:00,2014:01:23:00:00:00
11963,2014:01:25:00:00:00,2014:01:26:00:00:00
11964,2014:01:24:00:00:00,2014:01:25:00:00:00
11965,2014:01:26:00:00:00,2014:01:27:00:00:00
11966,2014:01:27:00:00:00,2014:01:28:00:00:00
11971,2014:02:07:00:00:00,2014:02:08:00:00:00
11976,2014:02:14:00:00:00,2014:02:15:00:00:00
11981,2014:02:21:00:00:00,2014:02:22:00:00:00
11983,2014:02:21:00:00:00,2014:02:22:00:00:00
11987,2014:02:26:00:00:00,2014:02:27:00:00:00
11992,2014:02:27:00:00:00,2014:02:28:00:00:00
11995,2014:03:01:00:00:00,2014:03:02:00:00:00
11998,2014:03:10:00:00:00,2014:03:11:00:00:00
11999,2014:03:06:00:00:00,2014:03:07:00:00:00
12000,2014:03:09:00:00:00,2014:03:10:00:00:00
12004,2014:03:14:00:00:00,2014:03:15:00:00:00
12018,2014:03:26:00:00:00,2014:03:27:00:00:00
12020,2014:03:29:00:00:00,2014:03:30:00:00:00
12024,2014:03:30:00:00:00,2014:03:31:00:00:00
12028,2014:04:05:00:00:00,2014:04:06:00:00:00
12032,2014:04:12:00:00:00,2014:04:13:00:00:00
12033,2014:04:13:00:00:00,2014:04:14:00:00:00
12040,2014:04:16:00:00:00,2014:04:17:00:00:00
12042,2014:04:21:00:00:00,2014:04:22:00:00:00
12050,2014:05:02:00:00:00,2014:05:03:00:00:00
12052,2014:05:05:00:00:00,2014:05:06:00:00:00
12054,2014:05:08:00:00:00,2014:05:09:00:00:00
12057,2014:05:11:00:00:00,2014:05:12:00:00:00
12059,2014:05:11:00:00:00,2014:05:12:00:00:00
12061,2014:05:16:00:00:00,2014:05:17:00:00:00
12064,2014:05:15:00:00:00,2014:05:16:00:00:00
12065,2014:05:19:00:00:00,2014:05:20:00:00:00
12068,2014:05:18:00:00:00,2014:05:19:00:00:00
12069,2014:05:21:00:00:00,2014:05:22:00:00:00
12075,2014:05:28:00:00:00,2014:05:29:00:00:00
12078,2014:06:02:00:00:00,2014:06:03:00:00:00
12081,2014:06:06:00:00:00,2014:06:07:00:00:00
12082,2014:06:07:00:00:00,2014:06:08:00:00:00
12086,2014:06:10:00:00:00,2014:06:11:00:00:00
12090,2014:06:16:00:00:00,2014:06:17:00:00:00
