time,col,x,y,level,time
19961110,7993,01,51,N,99:99
19961111,7993,02,37,N,99:99
19961111,7994,12,19,N,99:99
19961112,7993,02,24,N,99:99
19961112,7994,11,05,N,99:99
19961113,7995,02,48,N,99:99
19961114,7995,01,35,N,99:99
19961115,7995,00,20,N,99:99
19961115,7996,32,19,N,99:99
19961116,7995,00,05,N,99:99
19961116,7996,32,07,N,99:99
19961117,7995,00,09,N,99:99
19961117,7996,31,08,N,99:99
19961117,7997,08,36,N,99:99
19961117,7998,14,32,N,99:99
19961118,7995,00,22,N,99:99
19961118,7997,08,22,N,99:99
19961118,7998,15,18,N,99:99
19961119,7995,01,36,N,99:99
19961119,7997,08,08,N,99:99
19961120,7997,08,07,N,99:99
19961121,7997,08,21,N,99:99
19961122,7997,08,33,N,99:99
19961122,7999,04,47,N,99:99
19961123,7997,05,40,N,99:99
19961123,7999,04,33,N,99:99
19961124,7997,05,54,N,99:99
19961124,7999,04,19,N,99:99
19961124,7999,04,19,C,21:05
19961124,7999,04,19,C,20:00
19961124,7999,04,19,C,19:25
19961124,7999,04,19,C,17:31
19961124,7999,04,19,N,99:99
19961126,7997,-W,4(,N,99:99
19961126,7997,-W,4(,C,12:22
19961126,7997,-W,4(,N,99:99
19961126,7999,-W,4(,N,99:99
19961126,7999,-W,4(,C,18:24
19961126,7999,-W,4(,C,13:08
19961126,7999,-W,4(,C,00:55
19961126,7999,-W,4(,C,00:11
19961126,7999,-W,4(,N,99:99
19961126,8000,-W,4(,N,99:99
19961126,8000,-W,4(,N,99:99
19961127,7997,05,91,N,99:99
19961127,7999,04,22,N,99:99
19961127,7999,04,22,N,99:99
19961127,7999,04,22,C,12:59
19961127,8000,13,84,N,99:99
19961128,7999,-W,4(,N,99:99
19961128,7999,-W,4(,N,99:99
19961128,8000,-W,4(,N,99:99
19961128,8000,-W,4(,N,99:99
19961129,7999,-W,4(,N,99:99
19961129,7999,-W,4(,C,12:31
19961129,7999,-W,4(,N,99:99
19961130,7999,04,62,N,99:99
19961130,7999,04,62,C,20:32
19961130,7999,04,62,C,17:09
19961130,7999,04,62,N,99:99
19961130,7999,04,62,M,20:16
19961201,7999,04,75,N,99:99
19961201,7999,04,75,C,20:47
19961201,7999,04,75,C,20:17
19961201,7999,04,75,N,99:99
19961201,7999,04,75,C,20:32
19961201,7999,04,75,C,17:09
19961202,7999,03,89,N,99:99
19961202,7999,03,89,C,23:43
19961202,7999,03,89,C,17:32
19961202,7999,03,89,C,14:21
19961202,7999,03,89,N,99:99
19961202,7999,03,89,C,20:47
19961202,7999,03,89,C,20:17
19961202,8001,19,81,N,99:99
19961202,8002,24,31,N,99:99
19961203,7999,05,91,N,99:99
19961203,7999,05,91,N,99:99
19961203,7999,05,91,C,23:43
19961203,7999,05,91,C,17:32
19961203,7999,05,91,C,14:21
19961208,8003,31,11,N,99:99
19961209,8003,30,03,N,99:99
19961211,8003,29,31,N,99:99
19961213,8003,28,58,N,99:99
19961213,8004,07,46,N,99:99
19961216,8003,29,91,N,99:99
19961216,8004,06,06,N,99:99
19961217,8004,06,08,N,99:99
19961217,8005,13,12,N,99:99
19961218,8004,07,21,N,99:99
19961218,8005,13,03,N,99:99
19961218,8006,28,07,N,99:99
19961219,8004,08,34,N,99:99
19961219,8006,28,08,N,99:99
19961220,8004,07,48,N,99:99
19961221,8004,06,61,N,99:99
19961222,8004,05,73,N,99:99
19961222,8007,04,59,N,99:99
19961223,8004,05,86,N,99:99
19961223,8007,04,73,N,99:99
19970105,8009,2,19,N,99:99
19970106,8009,3,32,N,99:99
19970107,8009,4,46,N,99:99
19970108,8009,5,58,N,99:99
19970110,8010,38,61,N,99:99
19970111,8010,38,74,N,99:99
19970112,8010,34,87,N,99:99
19970116,8011,6,9,N,99:99
19970117,8011,5,4,N,99:99
19970118,8011,6,18,N,99:99
19970119,8011,6,31,N,99:99
19970119,8012,27,2,N,99:99
19970119,8013,32,51,N,99:99
19970125,8014,13,44,N,99:99
19970126,8014,12,31,N,99:99
19970128,8014,16,10,N,99:99
19970129,8014,15,5,N,99:99
19970130,8015,7,19,N,99:99
19970131,8015,3,6,N,99:99
19970201,8015,5,7,N,99:99
19970202,8015,4,22,N,99:99
19970203,8015,5,36,N,99:99
19970203,8016,21,9,N,99:99
19970204,8015,5,50,N,99:99
19970204,8016,21,4,N,99:99
19970204,8016,21,4,C,11:11
19970204,8016,21,4,N,99:99
19970205,8015,5,64,N,99:99
19970205,8016,21,17,N,99:99
19970205,8016,21,17,N,99:99
19970205,8016,21,17,C,11:11
19970206,8015,5,78,N,99:99
19970206,8016,20,31,N,99:99
19970207,8015,6,91,N,99:99
19970207,8016,20,45,N,99:99
19970207,8017,35,73,N,99:99
19970208,8015,4,91,N,99:99
19970208,8016,19,58,N,99:99
19970208,8017,33,85,N,99:99
19970209,8016,20,71,N,99:99
19970210,8016,19,84,N,99:99
19970219,8018,10,74,N,99:99
19970219,8018,10,74,C,22:17
19970219,8018,10,74,N,99:99
19970220,8018,5,90,N,99:99
19970220,8018,5,90,N,99:99
19970220,8018,5,90,C,22:17
19970225,8019,25,42,N,99:99
19970226,8019,26,27,N,99:99
19970307,8020,6,60,N,99:99
19970308,8020,7,48,N,99:99
19970309,8020,6,34,N,99:99
19970309,8021,30,29,N,99:99
19970310,8020,6,18,N,99:99
19970310,8021,29,17,N,99:99
19970311,8020,7,9,N,99:99
19970312,8020,7,6,N,99:99
19970313,8020,7,19,N,99:99
19970314,8020,8,33,N,99:99
